country,cbs_rni_name,rni_registered,born_in_nl,born_in_country,born_elsewhere,source_date,fetched_at,cbs_note
Turkey,Turkije,26364,10806,13168,581,2025-07-01,2026-09-15T11:57:02.664340+00:00,"CBS: cijfers zijn vrijwel altijd een onderschatting van het werkelijke aantal Nederlanders in het buitenland, omdat RNI-registratie voor niet-ingezetenen niet verplicht is (bv. Canada: 19k RNI-geregistreerden vs. bijna 89k in Nederland geboren inwoners volgens Statistics Canada)."
Ukraine,Oekraïne,378,159,84,47,2025-07-01,2026-09-15T11:57:02.664340+00:00,"CBS: cijfers zijn vrijwel altijd een onderschatting van het werkelijke aantal Nederlanders in het buitenland, omdat RNI-registratie voor niet-ingezetenen niet verplicht is (bv. Canada: 19k RNI-geregistreerden vs. bijna 89k in Nederland geboren inwoners volgens Statistics Canada)."
Lebanon,Libanon,551,149,165,101,2025-07-01,2026-09-15T11:57:02.664340+00:00,"CBS: cijfers zijn vrijwel altijd een onderschatting van het werkelijke aantal Nederlanders in het buitenland, omdat RNI-registratie voor niet-ingezetenen niet verplicht is (bv. Canada: 19k RNI-geregistreerden vs. bijna 89k in Nederland geboren inwoners volgens Statistics Canada)."
Israel,Israël,4527,2368,1271,348,2025-07-01,2026-09-15T11:57:02.664340+00:00,"CBS: cijfers zijn vrijwel altijd een onderschatting van het werkelijke aantal Nederlanders in het buitenland, omdat RNI-registratie voor niet-ingezetenen niet verplicht is (bv. Canada: 19k RNI-geregistreerden vs. bijna 89k in Nederland geboren inwoners volgens Statistics Canada)."
Egypt,Egypte,2936,1191,883,400,2025-07-01,2026-09-15T11:57:02.664340+00:00,"CBS: cijfers zijn vrijwel altijd een onderschatting van het werkelijke aantal Nederlanders in het buitenland, omdat RNI-registratie voor niet-ingezetenen niet verplicht is (bv. Canada: 19k RNI-geregistreerden vs. bijna 89k in Nederland geboren inwoners volgens Statistics Canada)."
Sudan,Soedan,1460,350,449,30,2025-07-01,2026-09-15T11:57:02.664340+00:00,"CBS: cijfers zijn vrijwel altijd een onderschatting van het werkelijke aantal Nederlanders in het buitenland, omdat RNI-registratie voor niet-ingezetenen niet verplicht is (bv. Canada: 19k RNI-geregistreerden vs. bijna 89k in Nederland geboren inwoners volgens Statistics Canada)."
Haiti,Haïti,69,13,5,1,2025-07-01,2026-09-15T11:57:02.664340+00:00,"CBS: cijfers zijn vrijwel altijd een onderschatting van het werkelijke aantal Nederlanders in het buitenland, omdat RNI-registratie voor niet-ingezetenen niet verplicht is (bv. Canada: 19k RNI-geregistreerden vs. bijna 89k in Nederland geboren inwoners volgens Statistics Canada)."
Thailand,Thailand,6055,4232,1089,463,2025-07-01,2026-09-15T11:57:02.664340+00:00,"CBS: cijfers zijn vrijwel altijd een onderschatting van het werkelijke aantal Nederlanders in het buitenland, omdat RNI-registratie voor niet-ingezetenen niet verplicht is (bv. Canada: 19k RNI-geregistreerden vs. bijna 89k in Nederland geboren inwoners volgens Statistics Canada)."
