icao24,callsign,origin_country,time_position,longitude,latitude,baro_altitude,on_ground,velocity
4bb0e8,THY68,Turkey,1789370434,99.0565,15.1161,11391.9,False,240.31
4bb0e3,THY175,Turkey,1789370434,33.2386,36.902,12192,False,229.91
4bb0e4,THY172,Turkey,1789370434,95.7902,10.6573,12496.8,False,240.28
4bb0e1,THY1RT,Turkey,1789370434,1.9487,60.5027,12496.8,False,292.33
4bb208,THY1PE,Turkey,1789370299,5.0822,45.7168,,True,4.63
4bb206,THY2LP,Turkey,1789370434,24.1259,57.3977,10675.62,False,226.02
4bb207,THY80N,Turkey,1789370435,24.6699,41.9625,10058.4,False,248.95
4bb205,THY1YW,Turkey,1789370434,11.8904,37.4654,10370.82,False,231.04
4bb212,THY9CR,Turkey,1789370434,7.4734,44.0504,10668,False,254.12
738321,,Israel,1789370331,34.8965,31.9968,,True,19.03
4bb20a,THY6ZN,Turkey,1789370434,9.5851,45.1321,10363.2,False,233.83
4bb215,THY6ER,Turkey,1789370433,10.7213,40.8527,9738.36,False,235.86
4bb213,THY6DL,Turkey,1789370434,12.1545,48.9886,10355.58,False,211.69
4bb214,THY5EA,Turkey,1789370426,20.289,44.8256,,True,0
4bb20d,THY3PB,Turkey,1789370433,12.6491,55.6198,,True,10.8
4bb20e,THY4CK,Turkey,1789370434,17.7287,57.7781,8503.92,False,206.44
4bb20b,,Turkey,1789370433,18.4661,43.9183,2613.66,False,134.39
8830ea,TLM785,Thailand,1789370435,100.6091,14.1622,1356.36,False,115.78
8830e9,TLM373,Thailand,1789370421,114.1182,21.7705,6385.56,False,213.93
4bb144,THY90,Turkey,1789370434,114.4378,40.4879,10088.88,False,252.04
4bb141,THY88,Turkey,1789370434,115.6492,40.4325,3901.44,False,188.81
4bb109,THY164,Turkey,1789370433,101.3792,20.9256,11277.6,False,255.55
4bb105,THY49A,Turkey,1789370434,97.1738,10.0822,11887.2,False,251.85
4bb10c,THY801,Turkey,1789370433,27.3984,41.9796,7475.22,False,204.93
4bb187,THY125,Turkey,1789370435,80.3709,27.6325,11582.4,False,251.15
4bb188,THY89J,Turkey,1789370435,18.4686,53.7885,10363.2,False,245.23
4bb185,THY49Q,Turkey,1789370434,12.1948,52.9077,10363.2,False,205.24
4bb184,THY8MT,Turkey,1789370435,17.7294,49.4527,10355.58,False,242.56
4bb181,THY67C,Turkey,1789370434,6.0747,62.5039,10355.58,False,226.94
4bb155,THY6470,Turkey,1789370434,26.7511,41.0369,6560.82,False,219.21
4bb153,THY6597,Turkey,1789370431,29.296,41.2869,2636.52,False,140.97
4bb14f,THY6583,Turkey,1789370414,29.2947,41.2974,3611.88,False,153.83
4bb14d,THY6024,Turkey,1789370434,20.3511,46.7931,10668,False,259.73
4bb162,THY32W,Turkey,1789370021,30.319,40.3266,518.16,False,111.4
4bb19a,THY197,Turkey,1789370433,44.6017,41.5441,10972.8,False,243.61
4bb199,THY12E,Turkey,1789370435,18.7639,47.8701,11277.6,False,248.47
4bb196,THY310,Turkey,1789370433,99.8329,14.5024,11269.98,False,247.22
4bb194,THY91J,Turkey,1789370434,-4.7515,57.4359,11887.2,False,280.01
4bb192,THY89A,Turkey,1789370405,38.4094,33.0683,11574.78,False,242.96
4bb193,THY69W,Turkey,1789370434,9.0357,49.9379,10965.18,False,227.31
4bb190,THY300,Turkey,1789370432,115.5856,40.4295,11300.46,False,261.53
4bb18a,THY4KG,Turkey,1789370434,-58.4331,44.696,11582.4,False,224.52
7395af,4XHSG,Israel,1789370434,34.7412,31.963,144.78,False,37.27
4bd6ad,TCUUM,Turkey,1789370398,26.7943,39.4301,937.26,False,43.84
738446,AIZ322,Israel,1789370433,47.2759,40.4657,9281.16,False,246.75
4bb064,THY1297,Turkey,1789370434,1.1446,39.59,11277.6,False,247.63
4bb063,THY2CT,Turkey,1789370435,8.0568,50.9262,10363.2,False,219.08
4bb061,THY1MJ,Turkey,1789370434,13.1944,49.7103,10972.8,False,202.97
4bb02b,TKJ9SE,Turkey,1789370434,22.3096,45.3422,10972.8,False,210.2
4bb02a,TKJ9GT,Turkey,1789370434,21.548,44.2056,11582.4,False,213.06
88596c,TVJ132,Thailand,1789370435,100.0576,15.5459,10363.2,False,232.81
88596d,TVJ568,Thailand,1789370434,121.5073,25.2255,2956.56,False,145.25
88596a,TVJ325,Thailand,1789370434,100.7271,13.4387,3916.68,False,177.14
4bb072,THY8MC,Turkey,1789370434,31.3388,31.8003,10972.8,False,239.12
4bb070,THY5CS,Turkey,1789370434,8.9222,53.0499,342.9,False,72.09
4bb06f,THY77C,Turkey,1789370435,24.1381,36.5149,11277.6,False,247.04
4bb06c,THY8VP,Turkey,1789370434,30.9885,33.5171,10972.8,False,242.67
885972,TVJ2300,Thailand,1789370434,99.7614,11.4718,9753.6,False,232.02
885963,TVJ2303,Thailand,1789370435,100.4106,11.8039,10058.4,False,240.64
4b9907,FHY1547,Turkey,1789370435,27.7739,42.3881,10957.56,False,211.42
4b990c,FHY1303,Turkey,1789370435,22.924,43.8319,10965.18,False,211.36
4b8566,BKI604,Turkey,1789370434,17.4045,36.4805,13106.4,False,203.14
8832e8,TLM512,Thailand,1789370385,98.9668,18.7704,,True,3.09
8832cd,TLM394,Thailand,1789370434,140.7823,35.3543,3048,False,154.47
748051,MEA211,Lebanon,1789370434,19.0993,40.0106,11582.4,False,227.63
8832cb,TLM509,Thailand,1789370250,100.6396,13.9748,358.14,False,82.65
748026,MEA311,Lebanon,1789370435,36.4788,33.4419,8534.4,False,257.02
748025,MEA426,Lebanon,1789370433,54.3959,25.694,4724.4,False,180.2
4b9856,FHY8013,Turkey,1789370434,30.6738,36.8994,1729.74,False,138.69
4b8533,PGT967,Turkey,1789370434,17.4622,45.9563,11582.4,False,218.13
4bcd86,SXS4PL,Turkey,1789370435,24.2247,39.9674,10972.8,False,210.26
4bcd84,SXS3BN,Turkey,1789370434,23.251,41.7156,11582.4,False,221.33
4bcd83,SXS6UE,Turkey,1789370434,26.4465,43.3006,10363.2,False,210.79
4bcd82,SXS5LJ,Turkey,1789370420,29.3374,41.9529,11582.4,False,55.91
4bcd81,SXS4WY,Turkey,1789370434,17.6992,47.2212,10972.8,False,225.16
4bcd6c,,Turkey,1789370416,-0.3762,51.9443,7185.66,False,191.36
5082ef,MGH871,Ukraine,1789370434,29.078,42.2327,10363.2,False,216.3
